City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Roseville;California;38.4;62591;67691;130282;8386;18161;2.72;CA;White;103853
Tracy;California;35.5;43156;43937;87093;3025;25410;3.42;CA;Hispanic or Latino;32810
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;Hispanic or Latino;9795
Toledo;Ohio;36.1;135455;144323;279778;15286;9257;2.29;OH;White;188325
South Jordan;Utah;33.8;33669;32970;66639;2595;6142;3.61;UT;Hispanic or Latino;4672
Savannah;Georgia;30.3;69389;76295;145684;9717;10355;2.57;GA;Black or African-American;82307
Macon;Georgia;36.0;71833;81626;153459;10735;4846;2.46;GA;Black or African-American;84569
Albuquerque;New Mexico;36.0;273323;285808;559131;37443;58200;2.49;NM;Hispanic or Latino;271854
The Villages;Florida;70.5;;;72590;15231;4034;;FL;White;72211
Edmond;Oklahoma;32.5;45191;44899;90090;5006;5585;2.68;OK;Hispanic or Latino;6187
Plano;Texas;38.1;138565;145054;283619;11719;74030;2.65;TX;American Indian and Alaska Native;3771
Centennial;Colorado;42.4;53222;56504;109726;7226;9501;2.66;CO;White;98174
Sunrise;Florida;37.7;41471;51235;92706;4108;38209;2.98;FL;Asian;3501
Columbia;Maryland;37.9;52202;51265;103467;6526;23249;2.68;MD;White;58343
Cleveland;Ohio;36.0;186436;201623;388059;19849;18830;2.24;OH;White;166958
Casas Adobes;Arizona;44.8;30890;34375;65265;6601;7024;2.24;AZ;American Indian and Alaska Native;2047
Phoenix;Arizona;33.8;786833;776168;1563001;72388;300702;2.89;AZ;Asian;66403
Manteca;California;35.3;37053;38397;75450;3936;13942;3.25;CA;White;56156
Carrollton;Texas;36.9;66928;66218;133146;5720;35327;2.78;TX;Hispanic or Latino;46850
Medford;Oregon;38.6;39606;40189;79795;6632;6185;2.65;OR;Asian;2135
Medford;Oregon;38.6;39606;40189;79795;6632;6185;2.65;OR;American Indian and Alaska Native;1239
Odessa;Texas;31.2;61119;57861;118980;5509;15845;2.92;TX;Black or African-American;7647
Kennewick;Washington;32.0;38492;40411;78903;5158;8376;2.78;WA;Black or African-American;2887
Little Rock;Arkansas;36.6;96997;100989;197986;12343;16640;2.36;AR;Hispanic or Latino;15500
Tempe;Arizona;28.8;91350;84476;175826;7058;26620;2.44;AZ;Black or African-American;11293
Tempe;Arizona;28.8;91350;84476;175826;7058;26620;2.44;AZ;Asian;17338
Arlington;Texas;32.6;191060;197062;388122;17050;79271;2.89;TX;Hispanic or Latino;112078
Arlington;Texas;32.6;191060;197062;388122;17050;79271;2.89;TX;Asian;31804
Edinburg;Texas;29.3;39422;45079;84501;2409;16569;3.31;TX;White;77560
Hayward;California;34.3;78152;80148;158300;4385;60970;3.32;CA;Black or African-American;20219
Gilbert;Arizona;33.2;116711;130812;247523;10817;24531;3.2;AZ;White;211322
Gilbert;Arizona;33.2;116711;130812;247523;10817;24531;3.2;AZ;American Indian and Alaska Native;5965
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;Asian;7913
Yonkers;New York;38.0;96580;104538;201118;4801;61247;2.8;NY;White;129492
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;Asian;9550
Lancaster;California;30.9;80668;80445;161113;7892;17247;3.25;CA;Black or African-American;36007
Moreno Valley;California;30.7;98584;105597;204181;8529;54442;3.9;CA;White;90391
El Monte;California;37.3;57961;58784;116745;1686;59655;3.67;CA;Asian;33384
Melbourne;Florida;43.4;39180;40956;80136;8363;9685;2.37;FL;Hispanic or Latino;6060
Olathe;Kansas;33.0;65046;69270;134316;6042;11913;2.97;KS;Hispanic or Latino;16131
Raleigh;North Carolina;32.8;219184;232765;451949;16747;65125;2.42;NC;Hispanic or Latino;51786
Albany;New York;32.8;47627;50825;98452;3643;11948;2.08;NY;American Indian and Alaska Native;1611
Compton;California;30.1;49264;49184;98448;897;30660;4.08;CA;American Indian and Alaska Native;298
Mount Vernon;New York;38.5;31876;36745;68621;2064;23777;2.85;NY;White;13106
Cape Coral;Florida;45.0;85626;89604;175230;14446;24185;2.85;FL;Black or African-American;7311
Bismarck;North Dakota;38.0;34675;35565;70240;4145;2064;2.11;ND;White;64719
Cleveland;Ohio;36.0;186436;201623;388059;19849;18830;2.24;OH;Black or African-American;205395
Cleveland;Ohio;36.0;186436;201623;388059;19849;18830;2.24;OH;American Indian and Alaska Native;6140
Houston;Texas;32.6;1149686;1148942;2298628;71898;696210;2.66;TX;American Indian and Alaska Native;13157
Norwalk;Connecticut;42.4;40880;47603;88483;2877;22328;2.7;CT;American Indian and Alaska Native;552
Southfield;Michigan;41.6;31369;41808;73177;4035;4011;2.27;MI;Hispanic or Latino;573
Pawtucket;Rhode Island;39.2;36072;35511;71583;3173;17884;2.41;RI;Black or African-American;15513
Orem;Utah;26.1;48695;45762;94457;2828;12808;3.26;UT;Asian;3862
Flagstaff;Arizona;23.9;33224;37093;70317;3667;4262;2.55;AZ;Black or African-American;3144
Huntington Beach;California;41.6;99967;101960;201927;10454;35368;2.67;CA;American Indian and Alaska Native;2843
Boston;Massachusetts;31.8;322149;347320;669469;18350;190123;2.38;MA;Black or African-American;189347
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;Asian;8800
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;White;89145
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;Asian;3153
El Cajon;California;32.7;54450;49238;103688;7103;31865;3.14;CA;Hispanic or Latino;31542
Miramar;Florida;36.6;66157;70958;137115;3077;57179;3.41;FL;Hispanic or Latino;46767
Johns Creek;Georgia;39.0;40282;43057;83339;1983;29000;3.19;GA;White;48414
Rapid City;South Dakota;39.5;36122;37446;73568;7429;2375;2.31;SD;Asian;2170
Manchester;New Hampshire;37.3;54845;55378;110223;5473;14506;2.4;NH;American Indian and Alaska Native;558
Meridian;Idaho;38.0;43353;47400;90753;5640;8110;2.54;ID;White;84625
Sioux Falls;South Dakota;34.6;86596;84934;171530;8658;12934;2.38;SD;Asian;4689
Durham;North Carolina;33.2;121153;136445;257598;12528;38642;2.4;NC;White;127680
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;Black or African-American;14529
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;White;121904
Fremont;California;38.3;114383;117808;232191;4629;109427;3.12;CA;Black or African-American;7762
Wilmington;North Carolina;35.5;52346;63601;115947;5908;7401;2.24;NC;American Indian and Alaska Native;742
Amarillo;Texas;33.8;99391;100260;199651;11008;21124;2.64;TX;Hispanic or Latino;65392
Pharr;Texas;26.9;35242;41293;76535;1376;25532;3.67;TX;White;73694
Pharr;Texas;26.9;35242;41293;76535;1376;25532;3.67;TX;Black or African-American;204
Chicago;Illinois;34.2;1320015;1400541;2720556;72042;573463;2.53;IL;American Indian and Alaska Native;23323
Spokane Valley;Washington;36.0;49933;44975;94908;7984;4199;2.39;WA;Hispanic or Latino;5110
Rochester;New York;31.4;100135;109673;209808;7288;17735;2.36;NY;Hispanic or Latino;38004
Norfolk;Virginia;30.2;128917;117476;246393;29445;16702;2.51;VA;Asian;11854
Redding;California;38.8;42530;49049;91579;6926;5181;2.42;CA;American Indian and Alaska Native;4352
Palatine;Illinois;38.0;36506;32763;69269;2629;21760;2.69;IL;White;46246
Lake Charles;Louisiana;31.8;35678;40388;76066;4477;3215;2.36;LA;Hispanic or Latino;3157
Frisco;Texas;37.2;73989;80399;154388;6297;30913;3.05;TX;Black or African-American;10821
Grand Rapids;Michigan;32.1;95669;99430;195099;8972;19176;2.56;MI;Asian;6057
Chesapeake;Virginia;36.7;114964;120465;235429;29772;13966;2.73;VA;White;150414
Westland;Michigan;39.9;37742;44253;81995;4756;6429;2.41;MI;White;60576
Columbia;Missouri;26.8;56544;62554;119098;4548;10729;2.37;MO;White;96067
Glendale;Arizona;34.4;116795;123319;240114;13241;44133;2.89;AZ;Asian;15245
Fishers;Indiana;34.5;42161;43910;86071;2469;6138;2.8;IN;Asian;7571
Harlingen;Texas;30.1;32404;33365;65769;2761;10391;3.0;TX;White;61844
Pembroke Pines;Florida;40.3;77050;89574;166624;6849;62210;2.94;FL;White;113624
Pembroke Pines;Florida;40.3;77050;89574;166624;6849;62210;2.94;FL;American Indian and Alaska Native;1076
Springdale;Arkansas;31.8;36840;43614;80454;3397;19969;3.04;AR;Black or African-American;1859
Goodyear;Arizona;38.6;36711;42292;79003;7650;11774;2.97;AZ;Hispanic or Latino;21603
Joliet;Illinois;33.1;70863;79162;150025;7353;22409;3.13;IL;White;106160
Lynn;Massachusetts;34.8;44598;47861;92459;3093;29899;2.81;MA;White;50652
Brentwood;New York;34.2;31395;32397;63792;1492;27058;4.98;NY;White;46347
Anchorage;Alaska;32.2;152945;145750;298695;27492;33258;2.77;AK;American Indian and Alaska Native;36339
Riverside;California;31.4;160613;161810;322423;12373;69584;3.34;CA;Asian;27675
Tallahassee;Florida;26.2;89390;100504;189894;9575;16720;2.38;FL;American Indian and Alaska Native;1368
Minneapolis;Minnesota;32.4;206547;204388;410935;15217;70769;2.26;MN;Asian;33854
Corona;California;37.1;79749;84493;164242;7709;42131;2.97;CA;Asian;21044
Sunnyvale;California;35.7;79480;72280;151760;3900;71441;2.74;CA;Asian;69472
Concord;North Carolina;35.7;42732;44961;87693;4621;8847;2.72;NC;Black or African-American;19027
Rochester;Minnesota;35.0;54934;57282;112216;6888;17763;2.55;MN;White;93477
Abilene;Texas;31.3;65212;60664;125876;9367;8129;2.64;TX;White;95487
Santa Clarita;California;38.1;90192;92175;182367;8537;40666;3.02;CA;Black or African-American;9223
Deerfield Beach;Florida;41.4;37155;42614;79769;3882;23642;2.46;FL;Hispanic or Latino;12729
Billings;Montana;36.3;52705;57565;110270;9121;3206;2.4;MT;Asian;1873
Lawrence;Kansas;27.4;45592;48324;93916;2986;8701;2.53;KS;White;79793
Beaumont;Texas;31.6;57326;60784;118110;7584;10516;2.47;TX;Hispanic or Latino;18815
Tustin;California;33.4;39511;41052;80563;2434;25034;3.27;CA;Hispanic or Latino;33998
Chico;California;29.9;46168;44168;90336;4519;8425;2.5;CA;Black or African-American;3164
Hoover;Alabama;38.5;38040;46799;84839;4819;8229;2.58;AL;White;61869
Rancho Cucamonga;California;34.5;88127;87105;175232;5821;33878;3.18;CA;Hispanic or Latino;65823
Columbia;South Carolina;28.0;67686;65707;133393;5708;6074;2.32;SC;White;73232
Federal Way;Washington;36.4;49151;46037;95188;7135;18565;2.68;WA;White;59035
Urban Honolulu;Hawaii;41.4;176807;175959;352766;23213;101312;2.69;HI;White;110508
Urban Honolulu;Hawaii;41.4;176807;175959;352766;23213;101312;2.69;HI;American Indian and Alaska Native;5592
Gainesville;Florida;26.0;60803;69330;130133;4788;15272;2.33;FL;White;87612
Richmond;California;35.3;52615;57100;109715;3611;42215;2.87;CA;Hispanic or Latino;45132
Peoria;Illinois;33.1;56229;62432;118661;6634;7517;2.4;IL;White;77074
Oakland;California;35.7;203827;215451;419278;12159;113896;2.56;CA;Hispanic or Latino;114054
Paradise;Nevada;37.2;122784;114162;236946;14112;66712;2.65;NV;White;147624
Broken Arrow;Oklahoma;36.8;52136;55459;107595;6797;6845;2.77;OK;White;94366
Cincinnati;Ohio;32.7;143654;154883;298537;13699;16896;2.08;OH;American Indian and Alaska Native;3362
New Braunfels;Texas;37.0;33071;36852;69923;5204;5405;2.85;TX;Black or African-American;3471
Livermore;California;36.7;41522;46595;88117;3063;13959;2.91;CA;Asian;14116
Fontana;California;29.5;100644;106828;207472;4076;61448;4.15;CA;White;85044
Lauderhill;Florida;35.7;32813;38761;71574;1965;25471;3.02;FL;White;10788
Lauderhill;Florida;35.7;32813;38761;71574;1965;25471;3.02;FL;Black or African-American;56948
Worcester;Massachusetts;34.9;90951;93855;184806;9408;36907;2.43;MA;Hispanic or Latino;39000
Santa Rosa;California;37.9;86840;88149;174989;9101;33015;2.7;CA;American Indian and Alaska Native;8859
Union City;California;38.5;38599;35911;74510;1440;32752;3.46;CA;Hispanic or Latino;13207
Fort Lauderdale;Florida;42.8;93948;84639;178587;8897;47582;2.38;FL;White;109751
Fort Lauderdale;Florida;42.8;93948;84639;178587;8897;47582;2.38;FL;Asian;3791
Richmond;Virginia;33.6;104793;115496;220289;12538;15741;2.29;VA;White;104568
Ogden;Utah;31.3;44323;41127;85450;5080;12791;2.68;UT;Asian;1911
Cedar Rapids;Iowa;36.2;63109;67296;130405;7823;5404;2.32;IA;Asian;5406
Albuquerque;New Mexico;36.0;273323;285808;559131;37443;58200;2.49;NM;American Indian and Alaska Native;32243
Fayetteville;North Carolina;30.7;101051;100914;201965;28089;12863;2.5;NC;White;102075
Coral Springs;Florida;37.2;63316;66186;129502;4724;38552;3.17;FL;American Indian and Alaska Native;1262
Brandon;Florida;36.1;55679;58289;113968;9417;16390;2.64;FL;Hispanic or Latino;26224
New Orleans;Louisiana;35.9;185736;203881;389617;17388;21679;2.41;LA;American Indian and Alaska Native;2496
Seattle;Washington;35.5;345659;338784;684443;29364;119840;2.13;WA;Asian;121507
Town 'n' Country;Florida;38.1;39410;39586;78996;4534;22135;2.61;FL;Asian;3347
Saint Cloud;Minnesota;30.7;34311;33942;68253;5012;5757;2.41;MN;American Indian and Alaska Native;1169
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;American Indian and Alaska Native;1883
Lancaster;California;30.9;80668;80445;161113;7892;17247;3.25;CA;Hispanic or Latino;57423
Hartford;Connecticut;31.0;58042;65972;124014;3130;28467;2.59;CT;Black or African-American;49939
Jacksonville;North Carolina;24.2;40015;27348;67363;8252;3732;2.51;NC;White;51245
Sandy;Utah;34.6;46923;46689;93612;3451;6691;3.22;UT;Black or African-American;522
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;White;43516
Delray Beach;Florida;47.9;32219;34042;66261;4232;16639;2.35;FL;Hispanic or Latino;6397
Lee's Summit;Missouri;36.8;48353;46715;95068;6624;3803;2.68;MO;Hispanic or Latino;4504
Bellevue;Washington;37.4;70763;69051;139814;5382;54654;2.43;WA;American Indian and Alaska Native;1949
New Rochelle;New York;40.6;38871;40967;79838;2780;26960;2.85;NY;Asian;4218
Overland Park;Kansas;38.2;93355;93156;186511;10461;21407;2.41;KS;American Indian and Alaska Native;1264
Weston;Florida;38.6;32956;36991;69947;1507;30876;3.34;FL;White;61021
McKinney;Texas;35.6;77339;85548;162887;8082;25760;2.91;TX;Hispanic or Latino;31705
Pasadena;Texas;31.5;78827;74959;153786;5735;38072;2.95;TX;Black or African-American;6204
Turlock;California;36.2;33190;39103;72293;3397;14686;2.76;CA;White;59308
Cranston;Rhode Island;39.9;38365;42712;81077;4702;10631;2.56;RI;Hispanic or Latino;10418
Springfield;Missouri;34.1;81057;85741;166798;12291;7765;2.12;MO;Black or African-American;10026
Henderson;Nevada;42.5;139412;146246;285658;25045;35666;2.55;NV;Black or African-American;18816
Rochester;New York;31.4;100135;109673;209808;7288;17735;2.36;NY;White;105636
Gary;Indiana;38.1;35876;41478;77354;3952;1884;2.35;IN;Hispanic or Latino;6266
Waco;Texas;29.3;63452;68890;132342;10716;14235;2.57;TX;Hispanic or Latino;40585
San Buenaventura;California;37.7;53932;55785;109717;5980;18025;2.68;CA;Black or African-American;1300
Walnut Creek;California;47.6;31994;36912;68906;4977;13624;2.22;CA;White;57064
Athens-Clarke County unified government;Georgia;26.5;57415;65148;122563;3953;12868;2.44;GA;White;79931
Spokane;Washington;36.6;102756;110511;213267;18044;13253;2.34;WA;White;193143
Davie;Florida;40.8;48754;52140;100894;4655;26532;2.72;FL;White;79832
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;Hispanic or Latino;24316
Eagan;Minnesota;36.8;31587;34701;66288;2699;8642;2.49;MN;Black or African-American;8032
Nashville;Tennessee;34.1;314231;340365;654596;27942;88193;2.39;TN;Black or African-American;188844
Temecula;California;34.2;54407;57619;112026;7587;18884;3.34;CA;White;85130
Davenport;Iowa;35.2;50123;52454;102577;7090;4065;2.39;IA;Black or African-American;12761
Warwick;Rhode Island;42.6;39289;42409;81698;5799;5318;2.4;RI;Hispanic or Latino;4723
Warwick;Rhode Island;42.6;39289;42409;81698;5799;5318;2.4;RI;Black or African-American;1212
Flower Mound;Texas;40.2;35200;35824;71024;4217;6860;3.01;TX;White;61433
Chandler;Arizona;35.6;128885;131948;260833;15870;38721;2.78;AZ;Hispanic or Latino;57159
Medford;Oregon;38.6;39606;40189;79795;6632;6185;2.65;OR;White;75464
Little Rock;Arkansas;36.6;96997;100989;197986;12343;16640;2.36;AR;Asian;8423
Tempe;Arizona;28.8;91350;84476;175826;7058;26620;2.44;AZ;American Indian and Alaska Native;4636
Gastonia;North Carolina;36.9;35527;39023;74550;3537;5715;2.67;NC;Hispanic or Latino;6653
Gastonia;North Carolina;36.9;35527;39023;74550;3537;5715;2.67;NC;White;46362
Westland;Michigan;39.9;37742;44253;81995;4756;6429;2.41;MI;American Indian and Alaska Native;429
Albany;Georgia;33.3;31695;39414;71109;5409;861;2.38;GA;Asian;650
Columbia;Missouri;26.8;56544;62554;119098;4548;10729;2.37;MO;Hispanic or Latino;4956
Columbia;Missouri;26.8;56544;62554;119098;4548;10729;2.37;MO;American Indian and Alaska Native;1713
Yuma;Arizona;33.4;48298;45847;94145;7182;19326;2.64;AZ;Asian;1180
Fishers;Indiana;34.5;42161;43910;86071;2469;6138;2.8;IN;White;73361
Aurora;Colorado;34.2;177899;180971;358870;25158;65816;2.82;CO;Hispanic or Latino;109396
Aurora;Colorado;34.2;177899;180971;358870;25158;65816;2.82;CO;White;239803
Toms River;New Jersey;43.7;43864;43886;87750;5042;6852;2.71;NJ;Hispanic or Latino;10267
Riverside;California;31.4;160613;161810;322423;12373;69584;3.34;CA;White;225157
Warner Robins;Georgia;31.4;35093;38909;74002;6974;3210;2.5;GA;Black or African-American;29307
Kalamazoo;Michigan;26.4;37175;38865;76040;3048;3482;2.36;MI;Hispanic or Latino;4114
Hemet;California;36.8;38622;45251;83873;5613;13330;2.97;CA;American Indian and Alaska Native;2288
Carmel;Indiana;39.9;42928;46101;89029;2723;9645;2.71;IN;Black or African-American;2171
Bloomington;Minnesota;40.9;43318;43118;86436;6176;10728;2.3;MN;Black or African-American;5828
Sugar Land;Texas;42.1;43889;44240;88129;4377;31169;2.95;TX;Black or African-American;8993
Charlotte;North Carolina;34.3;396646;430475;827121;36046;128897;2.52;NC;White;446795
Cambridge;Massachusetts;31.5;55421;54981;110402;2495;27757;2.06;MA;Hispanic or Latino;9433
Sunnyvale;California;35.7;79480;72280;151760;3900;71441;2.74;CA;Black or African-American;4210
Concord;North Carolina;35.7;42732;44961;87693;4621;8847;2.72;NC;Hispanic or Latino;11301
Oshkosh;Wisconsin;33.0;32905;33652;66557;3809;2348;2.3;WI;White;60210
West Jordan;Utah;30.8;57898;54044;111942;3577;11492;3.46;UT;American Indian and Alaska Native;1211
Beaumont;Texas;31.6;57326;60784;118110;7584;10516;2.47;TX;Asian;4079
Missouri City;Texas;37.2;34932;36846;71778;4274;18556;3.03;TX;Asian;17854
Canton;Ohio;33.4;34476;37419;71895;3404;2204;2.32;OH;White;53571
Spring Valley;Nevada;37.0;96808;97147;193955;10644;61072;2.79;NV;American Indian and Alaska Native;2215
Columbia;South Carolina;28.0;67686;65707;133393;5708;6074;2.32;SC;Asian;3501
Federal Way;Washington;36.4;49151;46037;95188;7135;18565;2.68;WA;Hispanic or Latino;14049
New Bedford;Massachusetts;38.6;43793;51166;94959;4185;19024;2.39;MA;American Indian and Alaska Native;346
Jacksonville;Florida;35.7;419203;448828;868031;75432;85650;2.62;FL;Black or African-American;282692
Jersey City;New Jersey;34.3;131765;132512;264277;4374;109186;2.57;NJ;American Indian and Alaska Native;3356
Elk Grove;California;36.1;80057;86833;166890;7762;38693;3.34;CA;Black or African-American;20185
Augusta-Richmond County consolidated government;Georgia;33.7;94662;101917;196579;19085;7915;2.67;GA;Hispanic or Latino;9068
Carmichael;California;41.0;29281;33934;63215;4225;7378;2.39;CA;American Indian and Alaska Native;2603
Sandy Springs;Georgia;35.4;48570;56777;105347;3015;19837;2.4;GA;Asian;7909
Evansville;Indiana;38.0;57198;60481;117679;9063;3169;2.25;IN;Black or African-American;17564
Berkeley;California;32.5;60142;60829;120971;3736;25000;2.35;CA;American Indian and Alaska Native;1868
Upland;California;39.7;36226;40221;76447;2898;16552;2.77;CA;Asian;9182
Chattanooga;Tennessee;36.6;83640;92957;176597;10001;10599;2.4;TN;American Indian and Alaska Native;1092
Milwaukee;Wisconsin;31.6;286315;313839;600154;20615;58321;2.51;WI;Black or African-American;248149
Salem;Oregon;35.4;80839;83704;164543;9685;19668;2.69;OR;Asian;6076
Salem;Oregon;35.4;80839;83704;164543;9685;19668;2.69;OR;American Indian and Alaska Native;7678
Fayetteville;Arkansas;27.1;41959;40873;82832;4744;6313;2.28;AR;Black or African-American;6927
Lakeland;Florida;38.1;47840;56570;104410;7390;11592;2.56;FL;White;75636
Toledo;Ohio;36.1;135455;144323;279778;15286;9257;2.29;OH;Black or African-American;85552
Westminster;Colorado;37.8;54866;58251;113117;6512;11361;2.63;CO;Black or African-American;3228
Conroe;Texas;31.5;34907;33685;68592;4871;13839;2.65;TX;Asian;2302
Enterprise;Nevada;34.1;69146;66328;135474;7526;31173;2.89;NV;American Indian and Alaska Native;2777
Savannah;Georgia;30.3;69389;76295;145684;9717;10355;2.57;GA;White;57690
German;Maryland;34.9;41115;43007;84122;2443;27877;2.95;MD;Black or African-American;22273
Schaumburg;Illinois;36.9;35971;39840;75811;2019;24614;2.72;IL;Hispanic or Latino;12545
Highlands Ranch;Colorado;39.6;49186;53281;102467;4840;8827;2.72;CO;American Indian and Alaska Native;1480
Chula Vista;California;34.6;131485;134269;265754;12368;82710;3.32;CA;Asian;48506
Yuba City;California;34.5;33654;33290;66944;4706;18032;2.9;CA;Black or African-American;1912
Yorba Linda;California;45.5;31960;36006;67966;3171;15532;3.0;CA;Black or African-American;1326
San Clemente;California;45.2;34076;31456;65532;3970;8109;2.64;CA;White;58849
Ames;Iowa;23.0;33814;31238;65052;2265;8606;2.16;IA;Asian;8979
Billings;Montana;36.3;52705;57565;110270;9121;3206;2.4;MT;American Indian and Alaska Native;6066
Round Rock;Texas;34.9;56646;59193;115839;6804;18237;3.13;TX;Asian;9685
Canton;Ohio;33.4;34476;37419;71895;3404;2204;2.32;OH;Hispanic or Latino;3597
Canton;Ohio;33.4;34476;37419;71895;3404;2204;2.32;OH;Black or African-American;21353
Orange;California;35.0;67337;73658;140995;3993;34550;3.14;CA;American Indian and Alaska Native;658
Redwood City;California;37.1;42676;42624;85300;2430;27652;2.64;CA;American Indian and Alaska Native;664
Silver Spring;Maryland;33.8;40601;41862;82463;1562;30908;2.6;MD;Black or African-American;21330
Chico;California;29.9;46168;44168;90336;4519;8425;2.5;CA;White;80467
Santa Fe;New Mexico;44.1;40601;43511;84112;5083;13824;2.41;NM;Asian;1878
Waukesha;Wisconsin;35.8;36263;35713;71976;3116;4982;2.35;WI;Asian;2904
Citrus Heights;California;37.8;41982;45071;87053;6171;9466;2.49;CA;Black or African-American;5979
Long Beach;California;34.6;238159;236013;474172;17463;127764;2.78;CA;Black or African-American;64948
Bridgeport;Connecticut;34.1;71509;76110;147619;4646;44475;2.86;CT;Hispanic or Latino;59036
Richmond;California;35.3;52615;57100;109715;3611;42215;2.87;CA;White;36074
Jersey City;New Jersey;34.3;131765;132512;264277;4374;109186;2.57;NJ;Black or African-American;65051
Kirkland;Washington;40.8;42159;45108;87267;5156;18570;2.3;WA;American Indian and Alaska Native;1155
Salinas;California;30.4;77765;79621;157386;4020;58693;3.72;CA;White;95283
Schenectady;New York;36.7;32398;32901;65299;3388;10961;2.82;NY;Black or African-American;15640
Green Bay;Wisconsin;32.9;52517;52704;105221;5519;9813;2.37;WI;White;82033
Victorville;California;30.6;60989;61247;122236;7484;21959;3.47;CA;White;86648
Sandy Springs;Georgia;35.4;48570;56777;105347;3015;19837;2.4;GA;Black or African-American;15420
Evansville;Indiana;38.0;57198;60481;117679;9063;3169;2.25;IN;American Indian and Alaska Native;713
Pittsburgh;Pennsylvania;32.9;149690;154695;304385;17728;28187;2.13;PA;Hispanic or Latino;9266
Murfreesboro;Tennessee;30.2;60704;65417;126121;5199;8948;2.6;TN;American Indian and Alaska Native;1339
The Woodlands;Texas;38.8;56083;63061;119144;8351;21188;2.93;TX;American Indian and Alaska Native;2427
New Braunfels;Texas;37.0;33071;36852;69923;5204;5405;2.85;TX;American Indian and Alaska Native;648
Pearland;Texas;33.9;52336;59329;111665;5621;16882;3.0;TX;Black or African-American;23779
Apple Valley;California;34.3;32873;39312;72185;5714;5801;3.03;CA;White;60767
Lauderhill;Florida;35.7;32813;38761;71574;1965;25471;3.02;FL;American Indian and Alaska Native;1186
Perris;California;26.9;41623;33336;74959;1321;23277;4.78;CA;White;23882
Racine;Wisconsin;33.7;39314;38423;77737;4650;4403;2.56;WI;American Indian and Alaska Native;1371
Salem;Oregon;35.4;80839;83704;164543;9685;19668;2.69;OR;Black or African-American;3770
Bolingbrook;Illinois;33.7;36295;35801;72096;2951;15212;3.42;IL;White;40458
Santa Maria;California;30.1;53320;51762;105082;2876;39192;3.83;CA;Hispanic or Latino;81551
Costa Mesa;California;34.8;59097;54089;113186;4095;26645;2.59;CA;Hispanic or Latino;38239
Inglewood;California;34.9;52995;58661;111656;2703;34171;3.12;CA;Hispanic or Latino;60873
Flint;Michigan;35.3;48984;49313;98297;3757;2138;2.38;MI;American Indian and Alaska Native;1508
New Haven;Connecticut;29.9;63765;66545;130310;2567;25871;2.48;CT;White;56251
Santa Barbara;California;37.8;45068;46784;91852;4518;19441;2.51;CA;Asian;4964
Chula Vista;California;34.6;131485;134269;265754;12368;82710;3.32;CA;White;183753
Santa Ana;California;30.8;167503;167920;335423;4735;152999;4.58;CA;American Indian and Alaska Native;4838
Detroit;Michigan;34.8;319265;357859;677124;29511;39861;2.6;MI;White;104260
Los Angeles;California;35.0;1958998;2012898;3971896;85417;1485425;2.86;CA;American Indian and Alaska Native;63758
Pleasanton;California;41.3;36662;42857;79519;2424;23208;2.87;CA;White;49934
Centennial;Colorado;42.4;53222;56504;109726;7226;9501;2.66;CO;American Indian and Alaska Native;1219
Flower Mound;Texas;40.2;35200;35824;71024;4217;6860;3.01;TX;American Indian and Alaska Native;1095
East Orange;New Jersey;35.5;29995;34967;64962;1870;15164;2.85;NJ;American Indian and Alaska Native;535
Casas Adobes;Arizona;44.8;30890;34375;65265;6601;7024;2.24;AZ;White;58956
San Antonio;Texas;33.1;721405;748419;1469824;109089;208046;2.93;TX;Hispanic or Latino;937607
Odessa;Texas;31.2;61119;57861;118980;5509;15845;2.92;TX;White;106944
Youngs;Ohio;37.5;30758;33851;64609;3620;1058;2.22;OH;Hispanic or Latino;7564
Coral Springs;Florida;37.2;63316;66186;129502;4724;38552;3.17;FL;Black or African-American;27225
Oxnard;California;31.0;101906;105346;207252;6367;78678;4.08;CA;Black or African-American;7183
Hayward;California;34.3;78152;80148;158300;4385;60970;3.32;CA;Asian;46285
Mesa;Arizona;36.9;234998;236835;471833;31808;57492;2.68;AZ;Hispanic or Latino;131425
Town 'n' Country;Florida;38.1;39410;39586;78996;4534;22135;2.61;FL;American Indian and Alaska Native;1622
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;Black or African-American;3176
El Cajon;California;32.7;54450;49238;103688;7103;31865;3.14;CA;White;84703
Midland;Texas;32.1;66595;66355;132950;5753;17061;2.78;TX;Asian;3279
Sandy;Utah;34.6;46923;46689;93612;3451;6691;3.22;UT;Asian;5657
